	prokaryote_shannon	microalgae_shannon	prokaryote_observed features after rarefaction at 2000 read depth	microalgae_observed features after rarefaction at 100 read depth	Samplecode	Panel	bottle	Seaweed_specimen_weight	Biofilm Sample area	Treatment	Rep	Date	Timepoint	Exposure_T_length	Substrate	Substrate_type	Isolation_source	Mean_Water_Conductivity_mS.cm	Mean_Water_Temperature	Mean_Water_OX_ml.l	Mean_Total_radiation	Mean_Precipitation	BioSampleModel	Instrument	Rep	Plastid_count
#q2:types	numeric	numeric	numeric	numeric	categorical	categorical	categorical	numeric	numeric	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	categorical	categorical	categorical	numeric
AgarepiT1-13	4.883794	1.6368981	399	6	AgarepiT1-13	P9	B2	62.49	25	G. vermiculophylla		10_11_20	T1	7	Seaweed	Invasive	Sw-G. vermiculophylla	25.96	13.21	0.09	40.08	0.2	Amplicon	Illumina MiSeq	Rep1	NA
AgarepiT1-17	5.228377	2.0160529	419	13	AgarepiT1-17	P12	B1	68.57	25	G. vermiculophylla		10_11_20	T1	7	Seaweed	Invasive	Sw-G. vermiculophylla	25.96	13.21	0.09	40.08	0.2	Amplicon	Illumina MiSeq	Rep2	NA
AgarepiT1-2	4.902313	1.2014966	277	6	AgarepiT1-2	P3	B1	74.23	21	G. vermiculophylla		10_11_20	T1	7	Seaweed	Invasive	Sw-G. vermiculophylla	25.96	13.21	0.09	40.08	0.2	Amplicon	Illumina MiSeq	Rep3	NA
AgarepiT1-3	5.027058	2.6787271	418	20	AgarepiT1-3	P4	B1	44.02	20	G. vermiculophylla		10_11_20	T1	7	Seaweed	Invasive	Sw-G. vermiculophylla	25.96	13.21	0.09	40.08	0.2	Amplicon	Illumina MiSeq	Rep4	NA
AgarepiT1-7	5.316749	1.8615642	460	9	AgarepiT1-7	P6	B1	50.9	24	G. vermiculophylla		10_11_20	T1	7	Seaweed	Invasive	Sw-G. vermiculophylla	25.96	13.21	0.09	40.08	0.2	Amplicon	Illumina MiSeq	Rep5	NA
AgarepiT1-8	5.398156	2.4419649	494	17	AgarepiT1-8	P6	B2	51.32	26	G. vermiculophylla		10_11_20	T1	7	Seaweed	Invasive	Sw-G. vermiculophylla	25.96	13.21	0.09	40.08	0.2	Amplicon	Illumina MiSeq	Rep6	NA
AgarepiT2-46	5.549463	1.4776839	617	12	AgarepiT2-46	P3	B1	71.8	21	G. vermiculophylla		1_12_20	T2	14	Seaweed	Invasive	Sw-G. vermiculophylla	23.54	9.44	1.41	17.04	0.2	Amplicon	Illumina MiSeq	Rep1	NA
AgarepiT2-47	5.268013	2.2615472	535	18	AgarepiT2-47	P4	B1	42.3	20	G. vermiculophylla		1_12_20	T2	14	Seaweed	Invasive	Sw-G. vermiculophylla	23.54	9.44	1.41	17.04	0.2	Amplicon	Illumina MiSeq	Rep2	NA
AgarepiT2-51	4.960354	2.1565168	448	12	AgarepiT2-51	P6	B1	48.3	24	G. vermiculophylla		1_12_20	T2	14	Seaweed	Invasive	Sw-G. vermiculophylla	23.54	9.44	1.41	17.04	0.2	Amplicon	Illumina MiSeq	Rep3	NA
